2026-03-04 13:22:03 | System | N/A | Logo Engine Booting => Staggering 1 concurrent streams.
2026-03-04 14:01:57 | SAB_HD | 0.67 | LOGO PRESENT

2026-03-04 14:02:02 | SAB_HD | 0.63 | LOGO PRESENT

2026-03-04 14:24:43 | System | N/A | Logo Engine Booting => Staggering 2 concurrent streams.

2026-03-04 14:24:43 | System | N/A | API server listening on 0.0.0.0:8000

2026-03-04 14:24:49 | SAB_HD | 0.16 | WARMUP

2026-03-04 14:24:55 | SAB_HD | 0.15 | WARMUP

2026-03-04 14:25:00 | SAB_HD | 0.15 | WARMUP

2026-03-04 14:25:37 | SAB_HD | 0.13 | LOGO MISSING

2026-03-04 14:25:56 | System | N/A | Graceful shutdown initiated. Terminating workers...

2026-03-04 14:26:34 | System | N/A | Logo Engine Booting => Staggering 2 concurrent streams.

2026-03-04 14:26:34 | System | N/A | API server listening on 0.0.0.0:8000

2026-03-04 14:26:39 | SAB_HD | 0.14 | WARMUP

2026-03-04 14:26:40 | Sony_Pal | 0.00 | WARMUP

2026-03-04 14:26:45 | SAB_HD | 0.16 | WARMUP

2026-03-04 14:26:45 | Sony_Pal | 0.00 | WARMUP

2026-03-04 14:26:50 | SAB_HD | 0.16 | WARMUP

2026-03-04 14:26:50 | Sony_Pal | 0.00 | WARMUP

2026-03-04 14:27:26 | SAB_HD | 0.16 | LOGO MISSING

2026-03-04 14:27:29 | Sony_Pal | 0.03 | LOGO MISSING

2026-03-04 14:28:05 | SAB_HD | 0.14 | LOGO MISSING

2026-03-04 14:28:07 | Sony_Pal | 0.08 | LOGO MISSING

2026-03-04 14:28:41 | SAB_HD | 0.15 | LOGO MISSING

2026-03-04 14:28:45 | Sony_Pal | 0.04 | LOGO MISSING

2026-03-04 14:28:55 | System | N/A | Graceful shutdown initiated. Terminating workers...

2026-03-04 14:32:35 | System | N/A | Logo Engine Booting => Staggering 2 concurrent streams.

2026-03-04 14:32:35 | System | N/A | API server listening on 0.0.0.0:8000

2026-03-04 14:32:40 | SAB_HD | 0.08 | WARMUP

2026-03-04 14:32:40 | Sony_Pal | 0.17 | WARMUP

2026-03-04 14:32:46 | SAB_HD | 0.16 | WARMUP

2026-03-04 14:32:46 | Sony_Pal | 0.00 | WARMUP

2026-03-04 14:32:51 | SAB_HD | 0.17 | WARMUP

2026-03-04 14:32:52 | Sony_Pal | 0.00 | WARMUP

2026-03-04 14:33:28 | SAB_HD | 0.15 | LOGO MISSING

2026-03-04 14:33:29 | Sony_Pal | 0.03 | LOGO MISSING

2026-03-04 14:34:44 | System | N/A | Graceful shutdown initiated. Terminating workers...

2026-03-04 14:34:44 | Sony_Pal | N/A | NO_PACKETS_RECEIVED

2026-03-04 14:34:44 | SAB_HD | N/A | NO_PACKETS_RECEIVED

2026-03-04 14:35:32 | System | N/A | Logo Engine Booting => Staggering 2 concurrent streams.

2026-03-04 14:35:32 | System | N/A | API server listening on 0.0.0.0:8000

2026-03-04 14:35:37 | SAB_HD | 0.69 | WARMUP

2026-03-04 14:35:37 | SABSony_Pal_HD | 0.60 | WARMUP

2026-03-04 14:35:42 | SAB_HD | 0.70 | WARMUP

2026-03-04 14:35:43 | SABSony_Pal_HD | 0.65 | WARMUP

2026-03-04 14:35:47 | SAB_HD | 0.71 | WARMUP

2026-03-04 14:35:48 | SABSony_Pal_HD | 0.67 | WARMUP

2026-03-04 14:35:53 | SAB_HD | 0.75 | LOGO PRESENT

2026-03-04 14:35:58 | SAB_HD | 0.76 | LOGO PRESENT

2026-03-04 14:36:03 | SAB_HD | 0.75 | LOGO PRESENT

2026-03-04 14:36:08 | SAB_HD | 0.73 | LOGO PRESENT

2026-03-04 14:36:13 | SAB_HD | 0.73 | LOGO PRESENT

2026-03-04 14:36:18 | SAB_HD | 0.75 | LOGO PRESENT

2026-03-04 14:36:24 | SAB_HD | 0.73 | LOGO PRESENT

2026-03-04 14:36:26 | SABSony_Pal_HD | 0.66 | LOGO MAYBE MISSING

2026-03-04 14:36:29 | SAB_HD | 0.74 | LOGO PRESENT

2026-03-04 14:36:32 | System | N/A | Graceful shutdown initiated. Terminating workers...

2026-03-04 14:36:32 | SABSony_Pal_HD | N/A | STREAM_DECODE_ERROR

2026-03-04 14:36:32 | SAB_HD | N/A | STREAM_DECODE_ERROR

2026-03-04 14:36:49 | System | N/A | Logo Engine Booting => Staggering 2 concurrent streams.

2026-03-04 14:36:49 | System | N/A | API server listening on 0.0.0.0:8000

2026-03-04 14:36:54 | SAB_HD | 0.74 | WARMUP

2026-03-04 14:36:54 | Sony_Pal_HD | 0.65 | WARMUP

2026-03-04 14:36:59 | SAB_HD | 0.74 | WARMUP

2026-03-04 14:37:00 | Sony_Pal_HD | 0.59 | WARMUP

2026-03-04 14:37:04 | SAB_HD | 0.74 | WARMUP

2026-03-04 14:37:05 | Sony_Pal_HD | 0.65 | WARMUP

2026-03-04 14:37:10 | SAB_HD | 0.74 | LOGO PRESENT

2026-03-04 14:37:11 | Sony_Pal_HD | 0.67 | LOGO PRESENT

2026-03-04 14:37:16 | SAB_HD | 0.71 | LOGO PRESENT

2026-03-04 14:37:29 | Sony_Pal_HD | 0.65 | LOGO PRESENT

2026-03-04 14:37:30 | SAB_HD | 0.75 | LOGO PRESENT

2026-03-04 14:37:35 | SAB_HD | 0.71 | LOGO PRESENT

2026-03-04 14:37:41 | SAB_HD | 0.71 | LOGO PRESENT

2026-03-04 14:37:46 | SAB_HD | 0.75 | LOGO PRESENT

2026-03-04 14:37:52 | SAB_HD | 0.71 | LOGO PRESENT

2026-03-04 14:37:57 | SAB_HD | 0.74 | LOGO PRESENT

2026-03-04 14:38:03 | SAB_HD | 0.72 | LOGO PRESENT

2026-03-04 14:38:07 | Sony_Pal_HD | 0.62 | LOGO PRESENT

2026-03-04 14:38:09 | SAB_HD | 0.72 | LOGO PRESENT

2026-03-04 14:38:13 | Sony_Pal_HD | 0.67 | LOGO PRESENT

2026-03-04 14:38:14 | SAB_HD | 0.75 | LOGO PRESENT

2026-03-04 14:38:18 | Sony_Pal_HD | 0.67 | LOGO PRESENT

2026-03-04 14:38:19 | SAB_HD | 0.73 | LOGO PRESENT

2026-03-04 14:38:24 | Sony_Pal_HD | 0.66 | LOGO PRESENT

2026-03-04 14:38:24 | SAB_HD | 0.66 | LOGO PRESENT

2026-03-04 14:38:29 | SAB_HD | 0.75 | LOGO PRESENT

2026-03-04 14:38:29 | Sony_Pal_HD | 0.66 | LOGO PRESENT

2026-03-04 14:38:31 | System | N/A | Graceful shutdown initiated. Terminating workers...

2026-03-04 14:38:31 | SAB_HD | N/A | STREAM_DECODE_ERROR

2026-03-04 14:38:31 | Sony_Pal_HD | N/A | STREAM_DECODE_ERROR

